HDR,ROLLING SYSTEM DEMAND
VD,20210920150500,29179
VD,20210920151000,29295
VD,20210920151500,29559
VD,20210920152000,29758
VD,20210920152500,29933
VD,20210920153000,30085
VD,20210920153500,30349
VD,20210920154000,30566
VD,20210920154500,30780
VD,20210920155000,31054
VD,20210920155500,31245
VD,20210920160000,31431
VD,20210920160500,31427
VD,20210920161000,31625
VD,20210920161500,31910
VD,20210920162000,32212
VD,20210920162500,32486
VD,20210920163000,32561
VD,20210920163500,32731
VD,20210920164000,32833
VD,20210920164500,32975
VD,20210920165000,33164
VD,20210920165500,33179
VD,20210920170000,33312
VD,20210920170500,33303
VD,20210920171000,33265
VD,20210920171500,33316
VD,20210920172000,33340
VD,20210920172500,33326
VD,20210920173000,33352
VD,20210920173500,33651
VD,20210920174000,33651
VD,20210920174500,33619
VD,20210920175000,33583
VD,20210920175500,33575
VD,20210920180000,33578
VD,20210920180500,33625
VD,20210920181000,33724
VD,20210920181500,33911
VD,20210920182000,33969
VD,20210920182500,33996
VD,20210920183000,34106
VD,20210920183500,34146
VD,20210920184000,34094
VD,20210920184500,33946
VD,20210920185000,33825
VD,20210920185500,33444
VD,20210920190000,33238
VD,20210920190500,33302
VD,20210920191000,33089
VD,20210920191500,32751
VD,20210920192000,32548
VD,20210920192500,32231
VD,20210920193000,32137
VD,20210920193500,32183
VD,20210920194000,32004
VD,20210920194500,31845
VD,20210920195000,31697
VD,20210920195500,31503
VD,20210920200000,31393
VD,20210920200500,31277
VD,20210920201000,30983
VD,20210920201500,30682
VD,20210920202000,30411
VD,20210920202500,30241
VD,20210920203000,30081
VD,20210920203500,29839
VD,20210920204000,29574
VD,20210920204500,29275
VD,20210920205000,29046
VD,20210920205500,28702
VD,20210920210000,28435
VD,20210920210500,28394
VD,20210920211000,28123
VD,20210920211500,27873
VD,20210920212000,27605
VD,20210920212500,27377
VD,20210920213000,27083
VD,20210920213500,26852
VD,20210920214000,26687
VD,20210920214500,26507
VD,20210920215000,26099
VD,20210920215500,25785
VD,20210920220000,25569
VD,20210920220500,25239
VD,20210920221000,24898
VD,20210920221500,24498
VD,20210920222000,24924
VD,20210920222500,20973
VD,20210920223000,23744
VD,20210920223500,23587
VD,20210920224000,23256
VD,20210920224500,22956
VD,20210920225000,22791
VD,20210920225500,22643
VD,20210920230000,22550
VD,20210920230500,22680
VD,20210920231000,22592
VD,20210920231500,22478
VD,20210920232000,22386
VD,20210920232500,22385
VD,20210920233000,22312
VD,20210920233500,22308
VD,20210920234000,22290
VD,20210920234500,22232
VD,20210920235000,22200
VD,20210920235500,22110
VD,20210921000000,22081
VD,20210921000500,22102
VD,20210921001000,22072
VD,20210921001500,22029
VD,20210921002000,21938
VD,20210921002500,21834
VD,20210921003000,21886
VD,20210921003500,22059
VD,20210921004000,22062
VD,20210921004500,22064
VD,20210921005000,22030
VD,20210921005500,21930
VD,20210921010000,21827
VD,20210921010500,21789
VD,20210921011000,21722
VD,20210921011500,21710
VD,20210921012000,21681
VD,20210921012500,21640
VD,20210921013000,21591
VD,20210921013500,21577
VD,20210921014000,21571
VD,20210921014500,21519
VD,20210921015000,21412
VD,20210921015500,21339
VD,20210921020000,21309
VD,20210921020500,21322
VD,20210921021000,21292
VD,20210921021500,21228
VD,20210921022000,21188
VD,20210921022500,21143
VD,20210921023000,21143
VD,20210921023500,21155
VD,20210921024000,21146
VD,20210921024500,21108
VD,20210921025000,21141
VD,20210921025500,21053
VD,20210921030000,21028
VD,20210921030500,20975
VD,20210921031000,20983
VD,20210921031500,20974
VD,20210921032000,20994
VD,20210921032500,20978
VD,20210921033000,20987
VD,20210921033500,21011
VD,20210921034000,21041
VD,20210921034500,21087
VD,20210921035000,21189
VD,20210921035500,21209
VD,20210921040000,21257
VD,20210921040500,21102
VD,20210921041000,21200
VD,20210921041500,21267
VD,20210921042000,21296
VD,20210921042500,21414
VD,20210921043000,21517
VD,20210921043500,21688
VD,20210921044000,21894
VD,20210921044500,22051
VD,20210921045000,22383
VD,20210921045500,22673
VD,20210921050000,22999
VD,20210921050500,23587
VD,20210921051000,24120
VD,20210921051500,24568
VD,20210921052000,24929
VD,20210921052500,25298
VD,20210921053000,25561
VD,20210921053500,25877
VD,20210921054000,26377
VD,20210921054500,26705
VD,20210921055000,27011
VD,20210921055500,27488
VD,20210921060000,28020
VD,20210921060500,28591
VD,20210921061000,29133
VD,20210921061500,29607
VD,20210921062000,29943
VD,20210921062500,30126
VD,20210921063000,30000
VD,20210921063500,29830
VD,20210921064000,29769
VD,20210921064500,29920
VD,20210921065000,29941
VD,20210921065500,30144
VD,20210921070000,30177
VD,20210921070500,30328
VD,20210921071000,30482
VD,20210921071500,30527
VD,20210921072000,30570
VD,20210921072500,30549
VD,20210921073000,30433
VD,20210921073500,30604
VD,20210921074000,30752
VD,20210921074500,30645
VD,20210921075000,30705
VD,20210921075500,30653
VD,20210921080000,30644
VD,20210921080500,30722
VD,20210921081000,30954
VD,20210921081500,30880
VD,20210921082000,30784
VD,20210921082500,30749
VD,20210921083000,30645
VD,20210921083500,30434
VD,20210921084000,30284
VD,20210921084500,30113
VD,20210921085000,30113
VD,20210921085500,29973
VD,20210921090000,29804
VD,20210921090500,29759
VD,20210921091000,29672
VD,20210921091500,29438
VD,20210921092000,29298
VD,20210921092500,29269
VD,20210921093000,29214
VD,20210921093500,29158
VD,20210921094000,28963
VD,20210921094500,28920
VD,20210921095000,28958
VD,20210921095500,28850
VD,20210921100000,28833
VD,20210921100500,28825
VD,20210921101000,28783
VD,20210921101500,28726
VD,20210921102000,28619
VD,20210921102500,28517
VD,20210921103000,28481
VD,20210921103500,28508
VD,20210921104000,28487
VD,20210921104500,28489
VD,20210921105000,28532
VD,20210921105500,28543
VD,20210921110000,28473
VD,20210921110500,28335
VD,20210921111000,28260
VD,20210921111500,28223
VD,20210921112000,28235
VD,20210921112500,28234
VD,20210921113000,28117
VD,20210921113500,28201
VD,20210921114000,28279
VD,20210921114500,28180
VD,20210921115000,28197
VD,20210921115500,28189
VD,20210921120000,28223
VD,20210921120500,28218
VD,20210921121000,28080
VD,20210921121500,27985
VD,20210921122000,28024
VD,20210921122500,27964
VD,20210921123000,27940
VD,20210921123500,27964
VD,20210921124000,28086
VD,20210921124500,28223
VD,20210921125000,28156
VD,20210921125500,28052
VD,20210921130000,28071
VD,20210921130500,28107
VD,20210921131000,28053
VD,20210921131500,28096
VD,20210921132000,28141
VD,20210921132500,28223
VD,20210921133000,28262
VD,20210921133500,28270
VD,20210921134000,28260
VD,20210921134500,28307
VD,20210921135000,28353
VD,20210921135500,28285
VD,20210921140000,28349
VD,20210921140500,28289
VD,20210921141000,28248
VD,20210921141500,28300
VD,20210921142000,28441
VD,20210921142500,28487
VD,20210921143000,28537
VD,20210921143500,28663
VD,20210921144000,28805
VD,20210921144500,28947
VD,20210921145000,29154
VD,20210921145500,29325
VD,20210921150000,29444
VD,20210921150500,29581
VD,20210921151000,29735
VD,20210921151500,29914
VD,20210921152000,30075
VD,20210921152500,30234
VD,20210921153000,30353
VD,20210921153500,30613
VD,20210921154000,30771
VD,20210921154500,31043
VD,20210921155000,31203
VD,20210921155500,31328
VD,20210921160000,31456
VD,20210921160500,31630
VD,20210921161000,31670
VD,20210921161500,31813
VD,20210921162000,32100
VD,20210921162500,32292
VD,20210921163000,32455
VD,20210921163500,32670
VD,20210921164000,32749
VD,20210921164500,32778
VD,20210921165000,32896
VD,20210921165500,32803
VD,20210921170000,32847
VD,20210921170500,32895
VD,20210921171000,32863
VD,20210921171500,32909
VD,20210921172000,32998
VD,20210921172500,33033
VD,20210921173000,33054
VD,20210921173500,33189
VD,20210921174000,33240
VD,20210921174500,33288
VD,20210921175000,33270
VD,20210921175500,33219
VD,20210921180000,33230
VD,20210921180500,33099
VD,20210921181000,33216
VD,20210921181500,33299
VD,20210921182000,33424
VD,20210921182500,33469
VD,20210921183000,33556
VD,20210921183500,33711
VD,20210921184000,33622
VD,20210921184500,33703
VD,20210921185000,33634
VD,20210921185500,33452
VD,20210921190000,33382
VD,20210921190500,33376
VD,20210921191000,33058
VD,20210921191500,32742
VD,20210921192000,32438
VD,20210921192500,32135
VD,20210921193000,31879
VD,20210921193500,31867
VD,20210921194000,31765
VD,20210921194500,31632
VD,20210921195000,31429
VD,20210921195500,31208
VD,20210921200000,31013
VD,20210921200500,30963
VD,20210921201000,30737
VD,20210921201500,30461
VD,20210921202000,30247
VD,20210921202500,29876
VD,20210921203000,29517
VD,20210921203500,29425
VD,20210921204000,29099
VD,20210921204500,28746
VD,20210921205000,28553
VD,20210921205500,28304
VD,20210921210000,27913
VD,20210921210500,27696
VD,20210921211000,27432
VD,20210921211500,27206
VD,20210921212000,26909
VD,20210921212500,26594
VD,20210921213000,26236
VD,20210921213500,25996
VD,20210921214000,25614
VD,20210921214500,25342
VD,20210921215000,25085
VD,20210921215500,24809
VD,20210921220000,24546
VD,20210921220500,24217
VD,20210921221000,24049
VD,20210921221500,23823
VD,20210921222000,23641
VD,20210921222500,23382
VD,20210921223000,23029
VD,20210921223500,22759
VD,20210921224000,22502
VD,20210921224500,22349
VD,20210921225000,22155
VD,20210921225500,21965
VD,20210921230000,21848
VD,20210921230500,21732
VD,20210921231000,21732
VD,20210921231500,21692
VD,20210921232000,21498
VD,20210921232500,21284
VD,20210921233000,21083
VD,20210921233500,20997
VD,20210921234000,21005
VD,20210921234500,20914
VD,20210921235000,20828
VD,20210921235500,20726
VD,20210922000000,20628
VD,20210922000500,20850
VD,20210922001000,20861
VD,20210922001500,20769
